A total disaster The worst possible ending it really is , please don't watch it . It is terrible. Where do I start, I can't, I can not........|deadpool-5175620|May 2019,,,,,,,,,,,,,,,,,,,,,,
Disappointing ending, we all wanted more|filippirgos20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Holy hell That was terrible. I don't understand how stupid you can be to like this episode.|nyeskinda20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Just created a account to say this.... All these years for this? What a garbage. How they made something so amazing turn into something awful? This unbelievable!!!|joeeesantos20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
House of starks Got should have been named as house of starks from the beginning as only they mattered all along.|Ut031920|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Should be 0 stars|sophiakhan-6661520|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Supremely Disappointing. Awfully executed senseless finale. 8 years of my life thinking I am watching the greatest TV show ever, 1 Season to ruin them all I guess|rayisvicious20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Melisandre had the right idea|rlindup20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Why it sucked In a word RUSHED. When you rush something small plot holes become huge black holes, nice developed character arcs become schizophrenic characters and all your left with is shock for shock sake. Why? selfishness and ego by David Benioff and D.B. Weiss, listed as the producers and directors (each season actually has had 4-6 directors) and very inflated script writers (again each season has had several script writers), they D&D are simply just very lucky guys, they are mediocre, of only average not very good script writing ability. They D&D try to take all the credit, when it was ALL the work of the author George R.R. Martin, his books his source material as his five completed novels had been more or less exhausted by end of season 6, and who up to season 4, George R.R. Martin himself was personally involved in script writing and consulting GOT which is why seasons 1-4 were excellent and established the show, and why series 7 and 8 are so bad and why D&D wanted to wrap up GOT at season 7 because they run out of the source material! do you know how bad they D&D depended on the books written by George R.R. Martin a character says a sentence in the books the SAME sentence is said by the human actor in GOT. Come on even the TV title Game of Thrones is the title of one of the 5 books. Did D&D even come up with the idea themselves? maybe overheard someone while in a Starbucks! Anyway, back to being rushed," search online excellent article by Forbes ""It Is Now Clear Having Two Short 'Game Of Thrones' Final Seasons Was A Mistake"" with HBO begging D&D for extra seasons and the author George R.R. Martin quoted as saying ""We could have gone to 11",12," 13 seasons"" (I assume legal contracts stopped HBO from dumping D&D). That's why the rush job", because in truth D&D just got very lucky, they simply did not want to be found out how talentless they are after they run out of the source material by George R.R. Martin! why else walk away from such a successful series according to New York Times, GOT generates more than $1 billion annually. And then Star Wars job offer comes along, to earn D&D millions of dollars on top of the 10's millions they earned from GOT. They wanted to wrap this up as quickly as possible to jump to Disney, probably the delay in GOT final series was them writing the Star Wars script! D&D are a good match for Disney, as Disney creativity has hit low bottom, these talentless hacks will fit right in writing for a children audience. D&D said to themselves Sod GOT, sod the fans, sod the actors, sod the author and sod HBO who wanted more seasons," ""we are off to make Star Wars"" and ruined what was once the best TV show on earth.|kkmeurope20|May 2019 "
"Hope the books tell another story. This is yet another ""Never wrote a review"" review. It is sad what happened here. Can't say anything else but wait for the books", hope for the best.|diogocmoraes20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Remember the show Dexter? This ending is worse. D&D managed to ruin the series after almost a decade of brilliant work. I hope they have their Star Wars trilogy opportunity serious scrutinized after this trainwreck. Ego based moves on the behalf of D&D detracted significantly from the quality of the last season, such that it is hard to recall a worse ending to a series. It is hard to not feel bad for the cast and the rest of the production team, who despite their clear best efforts were clearly left with a irredeemable script. Their performances were great otherwise.|bryceragatz20|May 2019,,,,,,,,,,,,,,,,,,,,,,,
Written by 10 year old fan fiction enthusiast This was nothing short of the worst ending to a TV show ever. All That hard work undone by 3 really meh seasons and a really terrible conclusion|benthomasfoster20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy and silly|rjedraszyk20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
I was ready to get disappointed but not on this level. This season is absolute garbage|lionmodz20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Horrible writing and this show is just plain awful!|mattgorman-3756520|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
I am so sad to rate 1/10 for one of the best series ever I was living and breathing GoT for 6th seasons. Last season was OK, nothing special. Almost two years, we have waited for 8th season. As weeks pass by, each episode is more disappointing than previous. I just wanted perfect ending for amazing series which I loved for 10 years. Extremely disappointed and still focused with this season writing. Just why?|jovanaja20|May 2019,,,,,,,,,,,,,,,,,,,,,,
Theoretically fair end with bad writing|albrechtmeincke20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
One of the greatest letdowns in history How in the world could Game of Thrones end with nothing but a whimper? All the build up that should have gone into this episode went nowhere. File the majority of this final season in the bin, because it shouldn't have finished like this. Poor George RR. I'm sure the money is great, but this mess was an insult to his hard work.|heatsink9820|May 2019,,,,,,,,,,,,,,,,,,,,,,,
